ID,Hotel,Agents,Check_in,Check_out,Price
810fbebd-11e6-4495-92f4-75a6f38f9e50,Hilton President Kansas City,Not Available,"Fri, Mar 24","Mon, Mar 27",Not Available
e756e501-b81e-4daf-b659-c3cbe5522f86,Homewood Suites by Hilton Athens Downtown University Area,Not Available,"Sat, Sep 23","Sun, Sep 24",Not Available
34c8fd04-2737-4d81-93dc-54bd3bd41130,Colony Palms Hotel,Not Available,"Sat, Apr 15","Sun, Apr 16",Not Available
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,"Crowne Plaza Orlando-Downtown, an IHG Hotel   Official Site","Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Booking.com,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Priceline,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,trivago.com,"Thu, Mar 16","Sat, Mar 18",$386
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Hotels.com,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Best Hotel Deals,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Expedia.com,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Traveloka.com,"Thu, Mar 16","Sat, Mar 18",$369
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Agoda,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Travel UP,"Thu, Mar 16","Sat, Mar 18",$364
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,HotelWiz,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Hotels Ugogo,"Thu, Mar 16","Sat, Mar 18",$374
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,Next Day Hotels,"Thu, Mar 16","Sat, Mar 18",$370
5a33a8b7-2575-494c-80b8-d575eab9e0a0,Crown Plaza Orlando Downtown,SuperTravel,"Thu, Mar 16","Sat, Mar 18",$370
